library	sample	read1	read2	interleaved
Eucalyptus_viminalis_Tasmanian_Herbarium_1	Eucalyptus_viminalis_Tasmanian_Herbarium			/g/data/xe2/datasets/2020_uwa-s4-runs/2020-S4-BVZ/Eucalyptus_viminalis_Tasmanian_Herbarium_1_S32_L002_001.fastq.gz
Eucalyptus_viminalis_Tasmanian_Herbarium_2	Eucalyptus_viminalis_Tasmanian_Herbarium			/g/data/xe2/datasets/2020_uwa-s4-runs/2020-S4-BVZ/Eucalyptus_viminalis_Tasmanian_Herbarium_2_S33_L002_001.fastq.gz
NCT	NCT	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_phyloGWAS_APF_gDNA/NCT_S97_L002_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_phyloGWAS_APF_gDNA/NCT_S97_L002_R2_001.fastq.gz	
NCT	NCT	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_1/A00548_0508_CTan_RSB_MN01/NCT_S1_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_1/A00548_0508_CTan_RSB_MN01/NCT_S1_R2_001.fastq.gz	
NCT	NCT	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F003_2/raw_data/NCT/NCT_DKDL202006107-1a-AK9781-AK32_HJVFCDSXY_L1_1.fq.gz	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F003_2/raw_data/NCT/NCT_DKDL202006107-1a-AK9781-AK32_HJVFCDSXY_L1_2.fq.gz	
NCT	NCT	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F001/raw_data/NCT/NCT_DKDL202006107-1a-AK9781-AK32_HJVFCDSXY_L1_1.fq.gz	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F001/raw_data/NCT/NCT_DKDL202006107-1a-AK9781-AK32_HJVFCDSXY_L1_2.fq.gz	
NCT_1	NCT_1	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_phyloGWAS_APF_gDNA/NCT_1_S1_L001_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_phyloGWAS_APF_gDNA/NCT_1_S1_L001_R2_001.fastq.gz	
NCT_1	NCT_1	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_1/A00548_0508_CTan_RSB_MN02/NCT_1_S106_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_1/A00548_0508_CTan_RSB_MN02/NCT_1_S106_R2_001.fastq.gz	
NCT_1	NCT_1	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F003_2/raw_data/NCT_1/NCT_1_DKDL202006109-1a-AK9804-AK33784_HJVFCDSXY_L1_1.fq.gz	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F003_2/raw_data/NCT_1/NCT_1_DKDL202006109-1a-AK9804-AK33784_HJVFCDSXY_L1_2.fq.gz	
NCT_1	NCT_1	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F001/raw_data/NCT_1/NCT_1_DKDL202006109-1a-AK9804-AK33784_HJVFCDSXY_L1_1.fq.gz	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F001/raw_data/NCT_1/NCT_1_DKDL202006109-1a-AK9804-AK33784_HJVFCDSXY_L1_2.fq.gz	
NCT_3	NCT_3	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN04/NCT_3_S28_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_2/A00548_0547_CTan_RSB_MN04/NCT_3_S28_R2_001.fastq.gz	
NCT_3	NCT_3	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_1/A00548_0508_CTan_RSB_MN12/NCT_3_S380_R1_001.fastq.gz	/g/data/xe2/datasets/euc_dieback_illumina_2023/euc_dieback_NovaSeq_S4_150bp_PE_flowcell_1/A00548_0508_CTan_RSB_MN12/NCT_3_S380_R2_001.fastq.gz	
NCT_3	NCT_3	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F003_2/raw_data/NCT_3/NCT_3_DKDL202006108-1a-AK9792-AK33783_HJVFCDSXY_L1_1.fq.gz	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F003_2/raw_data/NCT_3/NCT_3_DKDL202006108-1a-AK9792-AK33783_HJVFCDSXY_L1_2.fq.gz	
NCT_3	NCT_3	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F001/raw_data/NCT_3/NCT_3_DKDL202006108-1a-AK9792-AK33783_HJVFCDSXY_L1_1.fq.gz	/g/data/xe2/datasets/2021_S4_Bothwell/X201SC20061994-Z01-F001/raw_data/NCT_3/NCT_3_DKDL202006108-1a-AK9792-AK33783_HJVFCDSXY_L1_2.fq.gz	
CCA0218	CCA0218			/g/data/xe2/datasets/currency-creek-eucs/interleaved/CCA0218_S6_001.fastq.gz
CCA0681	CCA0681			/g/data/xe2/datasets/currency-creek-eucs/interleaved/CCA0681_S13_001.fastq.gz
CCA0933	CCA0933			/g/data/xe2/datasets/currency-creek-eucs/interleaved/CCA0933_S37_001.fastq.gz
CCA1366	CCA1366			/g/data/xe2/datasets/currency-creek-eucs/interleaved/CCA1366_S51_001.fastq.gz
CCA3899	CCA3899			/g/data/xe2/datasets/currency-creek-eucs/interleaved/CCA3899_S74_001.fastq.gz
CCA5060	CCA5060			/g/data/xe2/datasets/currency-creek-eucs/interleaved/CCA5060_S84_001.fastq.gz
CCA5180	CCA5180			/g/data/xe2/datasets/currency-creek-eucs/interleaved/CCA5180_S91_001.fastq.gz
CCA5946	CCA5946			/g/data/xe2/datasets/currency-creek-eucs/interleaved/CCA5946_S85_001.fastq.gz
DDA100	DDA100	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA100_S309_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA100_S309_L004_R2_001.fastq.gz	
DDA100a	DDA100a	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA100a_S248_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA100a_S248_L004_R2_001.fastq.gz	
DDA100c	DDA100c	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA100c_S289_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA100c_S289_L004_R2_001.fastq.gz	
DDA100d	DDA100d	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA100d_S238_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA100d_S238_L003_R2_001.fastq.gz	
DDA100f	DDA100f	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA100f_S264_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA100f_S264_L004_R2_001.fastq.gz	
DDA100g	DDA100g	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA100g_S244_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA100g_S244_L004_R2_001.fastq.gz	
DDA114	DDA114	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA114_S278_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA114_S278_L004_R2_001.fastq.gz	
DDA114a	DDA114a	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA114a_S284_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA114a_S284_L004_R2_001.fastq.gz	
DDA114b	DDA114b	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA114b_S281_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA114b_S281_L004_R2_001.fastq.gz	
DDA114c	DDA114c	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA114c_S159_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA114c_S159_L003_R2_001.fastq.gz	
DDA114d	DDA114d	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA114d_S262_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA114d_S262_L004_R2_001.fastq.gz	
DDA114e	DDA114e	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA114e_S204_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA114e_S204_L003_R2_001.fastq.gz	
DDA117	DDA117	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA117_S147_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA117_S147_L003_R2_001.fastq.gz	
DDA117a	DDA117a	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA117a_S230_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA117a_S230_L003_R2_001.fastq.gz	
DDA117d	DDA117d	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA117d_S317_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA117d_S317_L004_R2_001.fastq.gz	
DDA117f	DDA117f	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA117f_S154_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA117f_S154_L003_R2_001.fastq.gz	
DDA117g	DDA117g	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA117g_S306_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA117g_S306_L004_R2_001.fastq.gz	
DDA117j	DDA117j	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA117j_S300_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA117j_S300_L004_R2_001.fastq.gz	
DDA122	DDA122	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122_S151_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122_S151_L003_R2_001.fastq.gz	
DDA122a	DDA122a	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122a_S220_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122a_S220_L003_R2_001.fastq.gz	
DDA122b	DDA122b	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122b_S237_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122b_S237_L003_R2_001.fastq.gz	
DDA122c	DDA122c	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122c_S210_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122c_S210_L003_R2_001.fastq.gz	
DDA122d	DDA122d	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA122d_S249_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA122d_S249_L004_R2_001.fastq.gz	
DDA122e	DDA122e	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA122e_S311_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA122e_S311_L004_R2_001.fastq.gz	
DDA124	DDA124	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA124_S254_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA124_S254_L004_R2_001.fastq.gz	
DDA124b	DDA124b	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA124b_S153_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA124b_S153_L003_R2_001.fastq.gz	
DDA124c	DDA124c	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA124c_S183_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA124c_S183_L003_R2_001.fastq.gz	
DDA124d	DDA124d	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA124d_S302_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA124d_S302_L004_R2_001.fastq.gz	
DDA124e	DDA124e	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA124e_S194_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA124e_S194_L003_R2_001.fastq.gz	
DDA124h	DDA124h	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA124h_S285_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA124h_S285_L004_R2_001.fastq.gz	
DDA126	DDA126	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126_S229_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126_S229_L003_R2_001.fastq.gz	
DDA126a	DDA126a	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA126a_S274_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA126a_S274_L004_R2_001.fastq.gz	
DDA126b	DDA126b	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA126b_S313_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA126b_S313_L004_R2_001.fastq.gz	
DDA126c	DDA126c	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126c_S215_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126c_S215_L003_R2_001.fastq.gz	
DDA126e	DDA126e	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126e_S217_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126e_S217_L003_R2_001.fastq.gz	
DDA126f	DDA126f	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126f_S167_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126f_S167_L003_R2_001.fastq.gz	
DDA127	DDA127	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA127_S298_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA127_S298_L004_R2_001.fastq.gz	
DDA128	DDA128	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA128_S202_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA128_S202_L003_R2_001.fastq.gz	
DDA128a	DDA128a	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA128a_S243_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA128a_S243_L004_R2_001.fastq.gz	
DDA128b	DDA128b	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA128b_S272_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA128b_S272_L004_R2_001.fastq.gz	
DDA130	DDA130	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA130_S326_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA130_S326_L004_R2_001.fastq.gz	
DDA130a	DDA130a	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA130a_S231_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA130a_S231_L003_R2_001.fastq.gz	
DDA130c	DDA130c	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA130c_S190_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA130c_S190_L003_R2_001.fastq.gz	
DDA130d	DDA130d	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA130d_S266_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA130d_S266_L004_R2_001.fastq.gz	
DDA130f	DDA130f	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA130f_S293_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA130f_S293_L004_R2_001.fastq.gz	
DDA130h	DDA130h	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA130h_S189_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA130h_S189_L003_R2_001.fastq.gz	
DDA133	DDA133	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA133_S195_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA133_S195_L003_R2_001.fastq.gz	
DDA136	DDA136	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA136_S291_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA136_S291_L004_R2_001.fastq.gz	
DDA136a	DDA136a	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA136a_S255_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA136a_S255_L004_R2_001.fastq.gz	
DDA136b	DDA136b	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA136b_S150_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA136b_S150_L003_R2_001.fastq.gz	
DDA136c	DDA136c	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA136c_S169_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA136c_S169_L003_R2_001.fastq.gz	
DDA137	DDA137	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA137_S331_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA137_S331_L004_R2_001.fastq.gz	
DDA137a	DDA137a	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA137a_S241_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA137a_S241_L004_R2_001.fastq.gz	
DDA137b	DDA137b	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA137b_S265_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA137b_S265_L004_R2_001.fastq.gz	
DDA137c	DDA137c	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA137c_S235_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA137c_S235_L003_R2_001.fastq.gz	
DDA137e	DDA137e	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA137e_S294_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA137e_S294_L004_R2_001.fastq.gz	
DDA137f	DDA137f	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA137f_S257_L004_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool2_Rose_Evim_Ecan_APF_gDNA/DDA137f_S257_L004_R2_001.fastq.gz	
DDA138	DDA138	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA138_S203_L003_R1_001.fastq.gz	/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA138_S203_L003_R2_001.fastq.gz	
