sample	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	meta_source	parsed_date	errors
J424d	Eucalyptus albens		-31.71111	150.6998	434	WGS84	Ardglen				elevation computed from api.geonames.org/astergdem	dp15		
J424e	Eucalyptus albens		-31.71111	150.6998	434	WGS84	Ardglen				elevation computed from api.geonames.org/astergdem	dp15		
J424f	Eucalyptus albens		-31.71111	150.6998	434	WGS84	Ardglen				elevation computed from api.geonames.org/astergdem	dp15		
J424g	Eucalyptus albens		-31.71111	150.6998	434	WGS84	Ardglen				elevation computed from api.geonames.org/astergdem	dp15		
J424h	Eucalyptus albens		-31.71111	150.6998	434	WGS84	Ardglen				elevation computed from api.geonames.org/astergdem	dp15		
J424i	Eucalyptus albens		-31.71111	150.6998	434	WGS84	Ardglen				elevation computed from api.geonames.org/astergdem	dp15		
J425	Eucalyptus sideroxylon		-30.30756	151.20671	721	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J425a	Eucalyptus sideroxylon		-30.30756	151.20671	721	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J425b	Eucalyptus sideroxylon		-30.30756	151.20671	721	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J425c	Eucalyptus sideroxylon		-30.30756	151.20671	721	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J425d	Eucalyptus sideroxylon		-30.30756	151.20671	721	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J425e	Eucalyptus sideroxylon		-30.30756	151.20671	721	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J425f	Eucalyptus sideroxylon		-30.30756	151.20671	721	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J425g	Eucalyptus sideroxylon		-30.30756	151.20671	721	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J425h	Eucalyptus sideroxylon		-30.30756	151.20671	721	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J425i	Eucalyptus sideroxylon		-30.30756	151.20671	721	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J426	Eucalyptus albens		-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J426a	Eucalyptus albens		-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J426b	Eucalyptus albens		-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J426c	Eucalyptus albens		-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J426d	Eucalyptus albens		-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J426e	Eucalyptus albens		-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J426f	Eucalyptus albens		-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J426g	Eucalyptus albens		-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J426h	Eucalyptus albens		-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J426i	Eucalyptus albens		-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J427	Eucalyptus caleyi		-30.36709	151.25757	765	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J427a	Eucalyptus caleyi		-30.36709	151.25757	765	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem	dp15		
J428	Eucalyptus albens		-29.6731	151.15315	621	WGS84	Inverell				elevation computed from api.geonames.org/astergdem	dp15		
J428a	Eucalyptus albens		-29.6731	151.15315	621	WGS84	Inverell				elevation computed from api.geonames.org/astergdem	dp15		
J428b	Eucalyptus albens		-29.6731	151.15315	621	WGS84	Inverell				elevation computed from api.geonames.org/astergdem	dp15		
J428c	Eucalyptus albens		-29.6731	151.15315	621	WGS84	Inverell				elevation computed from api.geonames.org/astergdem	dp15		
J428d	Eucalyptus albens		-29.6731	151.15315	621	WGS84	Inverell				elevation computed from api.geonames.org/astergdem	dp15		
J428e	Eucalyptus albens		-29.6731	151.15315	621	WGS84	Inverell				elevation computed from api.geonames.org/astergdem	dp15		
J428f	Eucalyptus albens		-29.6731	151.15315	621	WGS84	Inverell				elevation computed from api.geonames.org/astergdem	dp15		
J428g	Eucalyptus albens		-29.6731	151.15315	621	WGS84	Inverell				elevation computed from api.geonames.org/astergdem	dp15		
J428h	Eucalyptus albens		-29.6731	151.15315	621	WGS84	Inverell				elevation computed from api.geonames.org/astergdem	dp15		
J428i	Eucalyptus albens		-29.6731	151.15315	621	WGS84	Inverell				elevation computed from api.geonames.org/astergdem	dp15		
J429	Eucalyptus albens		-28.77243	151.21523	358	WGS84	Texas				elevation computed from api.geonames.org/astergdem	dp15		
J429a	Eucalyptus albens		-28.77243	151.21523	358	WGS84	Texas				elevation computed from api.geonames.org/astergdem	dp15		
J429b	Eucalyptus albens		-28.77243	151.21523	358	WGS84	Texas				elevation computed from api.geonames.org/astergdem	dp15		
J429c	Eucalyptus albens		-28.77243	151.21523	358	WGS84	Texas				elevation computed from api.geonames.org/astergdem	dp15		
J429d	Eucalyptus albens		-28.77243	151.21523	358	WGS84	Texas				elevation computed from api.geonames.org/astergdem	dp15		
J429e	Eucalyptus albens		-28.77243	151.21523	358	WGS84	Texas				elevation computed from api.geonames.org/astergdem	dp15		
J429f	Eucalyptus albens		-28.77243	151.21523	358	WGS84	Texas				elevation computed from api.geonames.org/astergdem	dp15		
J429g	Eucalyptus albens		-28.77243	151.21523	358	WGS84	Texas				elevation computed from api.geonames.org/astergdem	dp15		
J429h	Eucalyptus albens		-28.77243	151.21523	358	WGS84	Texas				elevation computed from api.geonames.org/astergdem	dp15		
J429i	Eucalyptus albens		-28.77243	151.21523	358	WGS84	Texas				elevation computed from api.geonames.org/astergdem	dp15		
J430	Eucalyptus sideroxylon		-28.56925	151.07571	290	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J430a	Eucalyptus sideroxylon		-28.56925	151.07571	290	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J430b	Eucalyptus sideroxylon		-28.56925	151.07571	290	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J430c	Eucalyptus sideroxylon		-28.56925	151.07571	290	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J430d	Eucalyptus sideroxylon		-28.56925	151.07571	290	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J430e	Eucalyptus sideroxylon		-28.56925	151.07571	290	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J430f	Eucalyptus sideroxylon		-28.56925	151.07571	290	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J430g	Eucalyptus sideroxylon		-28.56925	151.07571	290	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J430h	Eucalyptus sideroxylon		-28.56925	151.07571	290	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J430i	Eucalyptus sideroxylon		-28.56925	151.07571	290	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J431	Eucalyptus crebra		-28.56955	151.07539	292	WGS84	Inglewood				elevation computed from api.geonames.org/astergdem	dp15		
J432	Eucalyptus fibrosa		-28.18033	151.66934	558	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J433	Eucalyptus sideroxylon		-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J433a	Eucalyptus sideroxylon		-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J433b	Eucalyptus sideroxylon		-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J433c	Eucalyptus sideroxylon		-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J433d	Eucalyptus sideroxylon		-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J433e	Eucalyptus sideroxylon		-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J433f	Eucalyptus sideroxylon		-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J433g	Eucalyptus sideroxylon		-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J433h	Eucalyptus sideroxylon		-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J433i	Eucalyptus sideroxylon		-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem	dp15		
J434	Eucalyptus sideroxylon		-27.7547	152.1189	514	WGS84	Allora				elevation computed from api.geonames.org/astergdem	dp15		
J434a	Eucalyptus sideroxylon		-27.7547	152.1189	514	WGS84	Allora				elevation computed from api.geonames.org/astergdem	dp15		
J434b	Eucalyptus sideroxylon		-27.7547	152.1189	514	WGS84	Allora				elevation computed from api.geonames.org/astergdem	dp15		
J435	Eucalyptus sideroxylon		-26.36944	151.88103	372	WGS84	Wondai				elevation computed from api.geonames.org/astergdem	dp15		
J435a	Eucalyptus sideroxylon		-26.36944	151.88103	372	WGS84	Wondai				elevation computed from api.geonames.org/astergdem	dp15		
J435b	Eucalyptus sideroxylon		-26.36944	151.88103	372	WGS84	Wondai				elevation computed from api.geonames.org/astergdem	dp15		
J435c	Eucalyptus sideroxylon		-26.36944	151.88103	372	WGS84	Wondai				elevation computed from api.geonames.org/astergdem	dp15		
J435d	Eucalyptus sideroxylon		-26.36944	151.88103	372	WGS84	Wondai				elevation computed from api.geonames.org/astergdem	dp15		
J435e	Eucalyptus sideroxylon		-26.36944	151.88103	372	WGS84	Wondai				elevation computed from api.geonames.org/astergdem	dp15		
J435f	Eucalyptus sideroxylon		-26.36944	151.88103	372	WGS84	Wondai				elevation computed from api.geonames.org/astergdem	dp15		
J435g	Eucalyptus sideroxylon		-26.36944	151.88103	372	WGS84	Wondai				elevation computed from api.geonames.org/astergdem	dp15		
J435h	Eucalyptus sideroxylon		-26.36944	151.88103	372	WGS84	Wondai				elevation computed from api.geonames.org/astergdem	dp15		
J435i	Eucalyptus sideroxylon		-26.36944	151.88103	372	WGS84	Wondai				elevation computed from api.geonames.org/astergdem	dp15		
J436	Eucalyptus albens		-27.18896	151.73259	512	WGS84	Kulpi				elevation computed from api.geonames.org/astergdem	dp15		
J436a	Eucalyptus albens		-27.18896	151.73259	512	WGS84	Kulpi				elevation computed from api.geonames.org/astergdem	dp15		
J436b	Eucalyptus albens		-27.18896	151.73259	512	WGS84	Kulpi				elevation computed from api.geonames.org/astergdem	dp15		
J436c	Eucalyptus albens		-27.18896	151.73259	512	WGS84	Kulpi				elevation computed from api.geonames.org/astergdem	dp15		
J436d	Eucalyptus albens		-27.18896	151.73259	512	WGS84	Kulpi				elevation computed from api.geonames.org/astergdem	dp15		
J436e	Eucalyptus albens		-27.18896	151.73259	512	WGS84	Kulpi				elevation computed from api.geonames.org/astergdem	dp15		
J436f	Eucalyptus albens		-27.18896	151.73259	512	WGS84	Kulpi				elevation computed from api.geonames.org/astergdem	dp15		
J436g	Eucalyptus albens		-27.18896	151.73259	512	WGS84	Kulpi				elevation computed from api.geonames.org/astergdem	dp15		
J436h	Eucalyptus albens		-27.18896	151.73259	512	WGS84	Kulpi				elevation computed from api.geonames.org/astergdem	dp15		
J436i	Eucalyptus albens		-27.18896	151.73259	512	WGS84	Kulpi				elevation computed from api.geonames.org/astergdem	dp15		
J437	Eucalyptus sideroxylonXmelliodora		-30.27552	151.18698	708	WGS84	Bundarra, Thunderbolts Way				elevation computed from api.geonames.org/astergdem	dp15		
J438	Eucalyptus sideroxylonXmelliodora		-30.27563	151.18764	707	WGS84	Bundarra, Thunderbolts Way				elevation computed from api.geonames.org/astergdem	dp15		
JJB3607	Eucalyptus viminalis		-35.45930556	148.89775	823	WGS84	Tidbinbilla Nature Reserve, 950 m from Tidbinbilla Reserve Road along Mountain Creek Road.	J.J. Bruhl J.G. Brickhill, I.L. Crawford			Roadside shelf above moderate slope. Yellow brown clay loam on metasediments. Eucalyptus viminalis, E. radiata layered open forest with Lomatia myricoides, Acacia dealbata, Exocarpus cupressiformis, Cassinia, Bursaria, Pomaderris aspera, Hibbertia, Pteridium esculentum, Lomandra, Poa sieberiana. Single-stemmed tree, 22 m tall, with branching c. 1 m from ground, DBH 101.5+14+11.5 cm. Bark persistent rough coarse ribbony to 1 m, then gum bark, cream to grey with yellow brown staining and brown ribbons.	dp15		
JJB3608	Eucalyptus viminalis		-35.45880556	148.8961667	839	WGS84	Tidbinbilla Nature Reserve, 1.1 km from Tidbinbilla Reserve Road along Mountain Creek Road.	J.J. Bruhl J.G. Brickhill, I.L. Crawford			Roadside shelf above moderate slope. Yellow brown clay loam on metasediments. Eucalyptus viminalis, E. radiata layered open forest with Lomatia myricoides, Acacia dealbata, Exocarpus cupressiformis, Cassinia, Bursaria, Pomaderris aspera, Hibbertia, Pteridium esculentum, Lomandra, Poa sieberiana. Single-stemmed tree, 17 m tall, DBH 65 cm. Bark persistent rough coarse ribbony to 1.5 m, then gum bark, cream to grey with brown ribbons.	dp15		
JJB3609	Eucalyptus viminalis		-35.45905556	148.8940556	847	WGS84	Tidbinbilla Nature Reserve, 1.5 km from Tidbinbilla Reserve Road along Mountain Creek Road, 10 m S of road.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Moderate slope. Yellow brown clay loam on metasediments. Eucalyptus viminalis, E. radiata layered open forest with Leptospermum continentale, Lomatia myricoides, Acacia melanoxylon, Exocarpus cupressiformis, Cassinia, Bursaria, Pomaderris aspera, Hibbertia, Pteridium esculentum, Lomandra, Poa sieberiana. Single-stemmed tree at base, 11 m tall, DBH 28+17 cm. Bark persistent rough coarse ribbony to 1 m, then gum bark, cream to grey with brown ribbons.	dp15		
JJB3609a	Eucalyptus viminalis		-35.45905556	148.8940556	847	WGS84	Tidbinbilla Nature Reserve, 1.5 km from Tidbinbilla Reserve Road along Mountain Creek Road, 10 m S of road.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Moderate slope. Yellow brown clay loam on metasediments. Eucalyptus viminalis, E. radiata layered open forest with Leptospermum continentale, Lomatia myricoides, Acacia melanoxylon, Exocarpus cupressiformis, Cassinia, Bursaria, Pomaderris aspera, Hibbertia, Pteridium esculentum, Lomandra, Poa sieberiana. Single-stemmed tree at base, 11 m tall, DBH 28+17 cm. Bark persistent rough coarse ribbony to 1 m, then gum bark, cream to grey with brown ribbons.	dp15		
JJB3610	Eucalyptus viminalis		-35.45838889	148.8918056	857	WGS84	Tidbinbilla Nature Reserve, 140 m NW from junction with Ashbrook Rd Firetrail along Mountain Creek Road, 3 m N of road.	J.J. Bruhl J.G. Brickhill, I.L. Crawford			Gentle slope. Yellow brown clay loam on metasediments. Eucalyptus viminalis, E. radiata layered open forest with Lomatia myricoides, Acacia melanoxylon, A. dealbata, Pomaderris aspera, Leptospermum continale, Coprosma quadrifida, Lomandra, Poa sieberiana. Single-stemmed tree to 20 m tall, DBH 79 cm. Coarse rough dark brown bark to c. 2 m, then cream gum bark with brown ribbons.	dp15		
JJB3611	Eucalyptus viminalis		-35.45677778	148.8895278	893	WGS84	Tidbinbilla Nature Reserve, end of Mountain Creek Road, inside loop and adjacent to car parking.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Gentle slope. Yellow brown clay loam on metasediments. Eucalyptus viminalis, E. fastigata, E. radiata layered open forest with Acacia dealbata, Exocarpos cupressiformis, Pomaderris aspera, Leptospermum continale, Olearia phlogopappa, Poa sieberiana, Pteridium esculentum. Single-stemmed tree to 19 m, crown damaged; DBH 112 cm. Rough bark patchy to 2 m, then gum barked, cream, aging to yellowish to grey with brown ribbony bark.	dp15		
JJB3612	Eucalyptus rubida		-35.45677778	149.0111389	726	WGS84	Tidbinbilla Road, 200 E of Geals Creek, 3 m S of road.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Gentle slope to more or less level. Light brown sandy clay loam on metasediments. Eucalyptus rubida shrubby woodland with Acacia dealbata, Kunzea ericoides, Hyericum perfoliatum. Single stemmed trees to 14 m tall. DBH 53+23 cm. Bark smooth from base, whitish to grey and pink.	dp15		
JJB3612a	Eucalyptus rubida		-35.45677778	149.0111389	726	WGS84	Tidbinbilla Road, 200 E of Geals Creek, 3 m S of road.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Gentle slope to more or less level. Light brown sandy clay loam on metasediments. Eucalyptus rubida shrubby woodland with Acacia dealbata, Kunzea ericoides, Hyericum perfoliatum. Single stemmed trees to 14 m tall. DBH 53+23 cm. Bark smooth from base, whitish to grey and pink.	dp15		
JJB3612b	Eucalyptus rubida		-35.45677778	149.0111389	726	WGS84	Tidbinbilla Road, 200 E of Geals Creek, 3 m S of road.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Gentle slope to more or less level. Light brown sandy clay loam on metasediments. Eucalyptus rubida shrubby woodland with Acacia dealbata, Kunzea ericoides, Hyericum perfoliatum. Single stemmed trees to 14 m tall. DBH 53+23 cm. Bark smooth from base, whitish to grey and pink.	dp15		
JJB3612c	Eucalyptus rubida		-35.45677778	149.0111389	726	WGS84	Tidbinbilla Road, 200 E of Geals Creek, 3 m S of road.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Gentle slope to more or less level. Light brown sandy clay loam on metasediments. Eucalyptus rubida shrubby woodland with Acacia dealbata, Kunzea ericoides, Hyericum perfoliatum. Single stemmed trees to 14 m tall. DBH 53+23 cm. Bark smooth from base, whitish to grey and pink.	dp15		
JJB3612d	Eucalyptus rubida		-35.45677778	149.0111389	726	WGS84	Tidbinbilla Road, 200 E of Geals Creek, 3 m S of road.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Gentle slope to more or less level. Light brown sandy clay loam on metasediments. Eucalyptus rubida shrubby woodland with Acacia dealbata, Kunzea ericoides, Hyericum perfoliatum. Single stemmed trees to 14 m tall. DBH 53+23 cm. Bark smooth from base, whitish to grey and pink.	dp15		
JJB3614	Eucalyptus dalrympleana		-35.83525	149.0096944	1307	WGS84	Namadgi National Park, junction of Boboyan Rd and road to Shanahans Mountain Walking Track.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Off crest. Yellow brown clay loam on metasediments. Eucalyptus dalrympleana, E. radiata, E. pauciflora layered woodland with Podolobium alpestre, Daviesia ulicifolia, Persoonia chamaepeuce, Hibbertia obtusifolia, Poa sieberiana, Lomandra longifolia. Single-stemmed tree 22 m tall; DBH 76 cm.	dp15		
JJB3614a	Eucalyptus dalrympleana		-35.83525	149.0096944	1307	WGS84	Namadgi National Park, junction of Boboyan Rd and road to Shanahans Mountain Walking Track.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Off crest. Yellow brown clay loam on metasediments. Eucalyptus dalrympleana, E. radiata, E. pauciflora layered woodland with Podolobium alpestre, Daviesia ulicifolia, Persoonia chamaepeuce, Hibbertia obtusifolia, Poa sieberiana, Lomandra longifolia. Single-stemmed tree 22 m tall; DBH 76 cm.	dp15		
JJB3614b	Eucalyptus dalrympleana		-35.83525	149.0096944	1307	WGS84	Namadgi National Park, junction of Boboyan Rd and road to Shanahans Mountain Walking Track.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Off crest. Yellow brown clay loam on metasediments. Eucalyptus dalrympleana, E. radiata, E. pauciflora layered woodland with Podolobium alpestre, Daviesia ulicifolia, Persoonia chamaepeuce, Hibbertia obtusifolia, Poa sieberiana, Lomandra longifolia. Single-stemmed tree 22 m tall; DBH 76 cm.	dp15		
JJB3614c	Eucalyptus dalrympleana		-35.83525	149.0096944	1307	WGS84	Namadgi National Park, junction of Boboyan Rd and road to Shanahans Mountain Walking Track.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Off crest. Yellow brown clay loam on metasediments. Eucalyptus dalrympleana, E. radiata, E. pauciflora layered woodland with Podolobium alpestre, Daviesia ulicifolia, Persoonia chamaepeuce, Hibbertia obtusifolia, Poa sieberiana, Lomandra longifolia. Single-stemmed tree 22 m tall; DBH 76 cm.	dp15		
JJB3614d	Eucalyptus dalrympleana		-35.83525	149.0096944	1307	WGS84	Namadgi National Park, junction of Boboyan Rd and road to Shanahans Mountain Walking Track.	J.J. Bruhl I.L. Crawford, J.G. Brickhill			Off crest. Yellow brown clay loam on metasediments. Eucalyptus dalrympleana, E. radiata, E. pauciflora layered woodland with Podolobium alpestre, Daviesia ulicifolia, Persoonia chamaepeuce, Hibbertia obtusifolia, Poa sieberiana, Lomandra longifolia. Single-stemmed tree 22 m tall; DBH 76 cm.	dp15		
LBM01A02	Eucalyptus melliodora		-36.632668	144.35019	178	WGS84		Linda Broadhurst	LB-U			dp15		
LBM01A03	Eucalyptus melliodora		-35.819633	145.31187	101	WGS84		Linda Broadhurst	LB-P			dp15		
LBM01A09	Eucalyptus melliodora		-33.423	149.752	844	WGS84		Linda Broadhurst	LB-V			dp15		
LBM01A12	Eucalyptus melliodora		-33.416668	149.55055	712	WGS84		Linda Broadhurst	LB-1			dp15		
LBM01B01	Eucalyptus melliodora		-36.632668	144.35019	178	WGS84		Linda Broadhurst	LB-U			dp15		
LBM01B02	Eucalyptus melliodora		-36.632668	144.35019	178	WGS84		Linda Broadhurst	LB-U			dp15		
LBM01B03	Eucalyptus melliodora		-35.819633	145.31187	101	WGS84		Linda Broadhurst	LB-P			dp15		
LBM01B05	Eucalyptus melliodora		-36.42797	144.41092	114	WGS84		Linda Broadhurst	LB-W1			dp15		
LBM01B06	Eucalyptus melliodora		-36.63518	149.56728	186	WGS84		Linda Broadhurst	LB-H			dp15		
LBM01B07	Eucalyptus melliodora		-36.63518	149.56728	186	WGS84		Linda Broadhurst	LB-H			dp15		
LBM01B08	Eucalyptus melliodora		-36.3675	145.70232	268	WGS84		Linda Broadhurst	LB-D			dp15		
LBM01B09	Eucalyptus melliodora		-33.423	149.752	844	WGS84		Linda Broadhurst	LB-V			dp15		
LBM01B10	Eucalyptus melliodora		-36.388	146.481	181	WGS84		Linda Broadhurst	LB-A			dp15		
LBM01B12	Eucalyptus melliodora		-33.416668	149.55055	712	WGS84		Linda Broadhurst	LB-1			dp15		
LBM01C01	Eucalyptus melliodora		-36.632668	144.35019	178	WGS84		Linda Broadhurst	LB-U			dp15		
LBM01C02	Eucalyptus melliodora		-35.819633	145.31187	101	WGS84		Linda Broadhurst	LB-P			dp15		
LBM01C03	Eucalyptus melliodora		-35.819633	145.31187	101	WGS84		Linda Broadhurst	LB-P			dp15		
LBM01C04	Eucalyptus melliodora		-36.86476	148.85016	638	WGS84		Linda Broadhurst	LB-G			dp15		
LBM01C05	Eucalyptus melliodora		-36.42797	144.41092	114	WGS84		Linda Broadhurst	LB-W1			dp15		
LBM01C06	Eucalyptus melliodora		-36.63518	149.56728	186	WGS84		Linda Broadhurst	LB-H			dp15		
LBM01C08	Eucalyptus melliodora		-36.3675	145.70232	268	WGS84		Linda Broadhurst	LB-D			dp15		
LBM01C09	Eucalyptus melliodora		-33.423	149.752	844	WGS84		Linda Broadhurst	LB-V			dp15		
LBM01C10	Eucalyptus melliodora		-36.388	146.481	181	WGS84		Linda Broadhurst	LB-A			dp15		
LBM01C12	Eucalyptus melliodora		-33.416668	149.55055	712	WGS84		Linda Broadhurst	LB-1			dp15		
LBM01D01	Eucalyptus melliodora		-36.632668	144.35019	178	WGS84		Linda Broadhurst	LB-U			dp15		
LBM01D03	Eucalyptus melliodora		-35.819633	145.31187	101	WGS84		Linda Broadhurst	LB-P			dp15		
LBM01D05	Eucalyptus melliodora		-36.42797	144.41092	114	WGS84		Linda Broadhurst	LB-W1			dp15		
LBM01D06	Eucalyptus melliodora		-36.63518	149.56728	186	WGS84		Linda Broadhurst	LB-H			dp15		
LBM01D09	Eucalyptus melliodora		-33.423	149.752	844	WGS84		Linda Broadhurst	LB-V			dp15		
LBM01D10	Eucalyptus melliodora		-36.388	146.481	181	WGS84		Linda Broadhurst	LB-A			dp15		
LBM01D11	Eucalyptus melliodora		-33.416668	149.55055	712	WGS84		Linda Broadhurst	LB-1			dp15		
LBM01D12	Eucalyptus melliodora		-33.416668	149.55055	712	WGS84		Linda Broadhurst	LB-1			dp15		
LBM01E01	Eucalyptus melliodora		-36.632668	144.35019	178	WGS84		Linda Broadhurst	LB-U			dp15		
LBM01E02	Eucalyptus melliodora		-35.819633	145.31187	101	WGS84		Linda Broadhurst	LB-P			dp15		
LBM01E03	Eucalyptus melliodora		-36.86476	148.85016	638	WGS84		Linda Broadhurst	LB-G			dp15		
LBM01E04	Eucalyptus melliodora		-36.86476	148.85016	638	WGS84		Linda Broadhurst	LB-G			dp15		
LBM01E06	Eucalyptus melliodora		-36.63518	149.56728	186	WGS84		Linda Broadhurst	LB-H			dp15		
LBM01E08	Eucalyptus melliodora		-36.3675	145.70232	268	WGS84		Linda Broadhurst	LB-D			dp15		
LBM01E09	Eucalyptus melliodora		-33.423	149.752	844	WGS84		Linda Broadhurst	LB-V			dp15		
LBM01E12	Eucalyptus melliodora		-33.416668	149.55055	712	WGS84		Linda Broadhurst	LB-1			dp15		
LBM01F01	Eucalyptus melliodora		-36.632668	144.35019	178	WGS84		Linda Broadhurst	LB-U			dp15		
LBM01F02	Eucalyptus melliodora		-35.819633	145.31187	101	WGS84		Linda Broadhurst	LB-P			dp15		
LBM01F03	Eucalyptus melliodora		-36.86476	148.85016	638	WGS84		Linda Broadhurst	LB-G			dp15		
LBM01F05	Eucalyptus melliodora		-36.42797	144.41092	114	WGS84		Linda Broadhurst	LB-W1			dp15		
LBM01F06	Eucalyptus melliodora		-36.63518	149.56728	186	WGS84		Linda Broadhurst	LB-H			dp15		
LBM01F07	Eucalyptus melliodora		-36.3675	145.70232	268	WGS84		Linda Broadhurst	LB-D			dp15		
LBM01F09	Eucalyptus melliodora		-33.423	149.752	844	WGS84		Linda Broadhurst	LB-V			dp15		
LBM01F10	Eucalyptus melliodora		-36.388	146.481	181	WGS84		Linda Broadhurst	LB-A			dp15		
LBM01F12	Eucalyptus melliodora		-35.03333	147.33333	191	WGS84		Linda Broadhurst	LB-C		elevation computed from api.geonames.org/astergdem	dp15		
LBM01G01	Eucalyptus melliodora		-36.632668	144.35019	178	WGS84		Linda Broadhurst	LB-U			dp15		
LBM01G02	Eucalyptus melliodora		-35.819633	145.31187	101	WGS84		Linda Broadhurst	LB-P			dp15		
LBM01G03	Eucalyptus melliodora		-36.86476	148.85016	638	WGS84		Linda Broadhurst	LB-G			dp15		
LBM01G05	Eucalyptus melliodora		-36.42797	144.41092	114	WGS84		Linda Broadhurst	LB-W1			dp15		
LBM01G06	Eucalyptus melliodora		-36.63518	149.56728	186	WGS84		Linda Broadhurst	LB-H			dp15		
LBM01G07	Eucalyptus melliodora		-36.3675	145.70232	268	WGS84		Linda Broadhurst	LB-D			dp15		
LBM01G08	Eucalyptus melliodora		-36.3675	145.70232	268	WGS84		Linda Broadhurst	LB-D			dp15		
LBM01G09	Eucalyptus melliodora		-33.423	149.752	844	WGS84		Linda Broadhurst	LB-V			dp15		
LBM01G11	Eucalyptus melliodora		-33.416668	149.55055	712	WGS84		Linda Broadhurst	LB-1			dp15		
LBM01H05	Eucalyptus melliodora		-36.42797	144.41092	114	WGS84		Linda Broadhurst	LB-W1			dp15		
LBM01H06	Eucalyptus melliodora		-36.63518	149.56728	186	WGS84		Linda Broadhurst	LB-H			dp15		
LBM01H07	Eucalyptus melliodora		-36.3675	145.70232	268	WGS84		Linda Broadhurst	LB-D			dp15		
