sample	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	meta_source	parsed_date	errors
CCA0705	Eucalyptus melliodora		-32.71222222	149.9661111	640	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0706	Eucalyptus melliodora		-32.71222222	149.9661111	640	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0708	Eucalyptus caleyi subsp. caleyi		-32.40361111	150.2280556	241	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0709	Eucalyptus caleyi subsp. caleyi		-32.40361111	150.2280556			Bylong, NSW	Dean Nicolle				dp15		
CCA0713	Eucalyptus polybractea		-33.89222222	147.0733333			West Wyalong, NSW	Dean Nicolle				dp15		
CCA0716	Eucalyptus dwyeri	28-12-19	-32.30194444	150.0472222	383	WGS84	Near Wollar, New South Wales.	Dean Nicolle			Mallee 4 m tall. Bark smooth, grey over light grey. Leaves slightly glossy olive green. Growing on sandy ridge with Corymbia trachyphloia and Eucalyptus fibrosa. (E. agglomerata  nearby.) Singleton Map.; elevation computed from api.geonames.org/astergdem	dp15	-42-12-18	
CCA0724	Eucalyptus polyanthemos subsp. marginalis		-37.08333333	143.6166667	232	WGS84	16.5km from Avoca towards Maryborough, Vic	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0728	Eucalyptus viridis		-31.56027778	146.5091667	270	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0733	Eucalyptus woollsiana		-27.15111111	150.6586111	325	WGS84	Qld.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0736	Eucalyptus exserta		-27.13416667	150.4830556	374	WGS84	Qld.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0742	Eucalyptus morrisii		-31.54083333	146.2797222			Mt Boppy, NSW	Dean Nicolle				dp15		
CCA0743	Eucalyptus melanophloia subsp. melanophloia		-26.26722222	150.0480556	281	WGS84	Qld.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0744	Corymbia trachyphloia subsp. trachyphloia		-25.17638889	152.3686111	58	WGS84	North-east of Childers, Queensland.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0749	Eucalyptus tereticornis subsp. tereticornis		-24.11138889	151.4316667			Bororen, Qld	Dean Nicolle				dp15		
CCA0751	Eucalyptus moluccana		-23.80111111	150.9533333	47	WGS84	Qld.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0754	Eucalyptus nicholii	4-12-19	-30.53305556	151.8241667	1025	WGS84	NSW	Dean Nicolle			Densely crowned tree 7m tall. Bark rough, thick grey-brown. Leaves dull blue-green. Growing with E. mollucanna and DN 652. Dorrigo.; elevation computed from api.geonames.org/astergdem	dp15	-66-12-18	
