sample	project	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	percent_dieback	seed_amount
Acacia_acuminata_ANBG	AcaciaPan													
Acacia_dealbata	AcaciaPan													
Acacia_melanoxylon	AcaciaPan													
ENE0034	DP15	Eucalyptus sp. aff. magnificata	2017-11-24	-30.51691	151.9735	1070	WGS84	Waterfall Way 2				elevation computed from api.geonames.org/astergdem		
ENE0036	DP15	Eucalyptus conica	2017-11-24	-30.53189	152.03299	931	WGS84	Wollomombi Falls Lookout				elevation computed from api.geonames.org/astergdem		
ENE0038	DP15	Eucalyptus conica	2017-11-24	-30.53132	152.03278	939	WGS84	Wollomombi Falls Lookout				elevation computed from api.geonames.org/astergdem		
ENE0040	DP15	Eucalyptus conica	2017-11-24	-30.53132	152.03148	947	WGS84	Wollomombi Falls Lookout				elevation computed from api.geonames.org/astergdem		
ENE0042	DP15	Eucalyptus conica	2017-11-24	-30.52496	152.07028	941	WGS84	Kempsey road gravel depot				elevation computed from api.geonames.org/astergdem		
ENE0044	DP15	Eucalyptus conica	2017-11-24	-30.52445	152.07028	937	WGS84	Kempsey road gravel depot				elevation computed from api.geonames.org/astergdem		
J345b	DP15	Eucalyptus albens	2015-11-20	-35.07022	148.83685	493	WGS84	Mullion, Mountain Creek Rd.				elevation computed from api.geonames.org/astergdem		
J345c	DP15	Eucalyptus albens	2015-11-20	-35.07022	148.83685	493	WGS84	Mullion, Mountain Creek Rd.				elevation computed from api.geonames.org/astergdem		
J359f	DP15	Eucalyptus sideroxylon	2015-11-21	-34.47594	147.40941	321	WGS84	Ingalba Nature Reserve, Hwy 94				elevation computed from api.geonames.org/astergdem		
J377f	DP15	Eucalyptus albens	2016-01-25	-36.96985	148.30525	577	WGS84	Suggan Buggan				elevation computed from api.geonames.org/astergdem		
J382	DP15	Eucalyptus albens	2016-01-27	-37.21575	147.71677	322	WGS84	Swifts Creek				elevation computed from api.geonames.org/astergdem		
J395a	DP15	Eucalyptus albens	2016-01-31	-36.76884	144.07336	201	WGS84	Powers Rd, Woodstock on Loddon				elevation computed from api.geonames.org/astergdem		
J401i	DP15	Eucalyptus sideroxylon	2016-04-05	-30.44023	151.25069	752	WGS84	Torreyburn Rd, Yarrowyck				elevation computed from api.geonames.org/astergdem		
J413b	DP15	Eucalyptus albens	2016-06-16	-30.70737	150.09621	245	WGS84	Boggabri - private land				elevation computed from api.geonames.org/astergdem		
J413d	DP15	Eucalyptus albens	2016-06-16	-30.70737	150.09621	245	WGS84	Boggabri - private land				elevation computed from api.geonames.org/astergdem		
J413e	DP15	Eucalyptus albens	2016-06-16	-30.70737	150.09621	245	WGS84	Boggabri - private land				elevation computed from api.geonames.org/astergdem		
J413g	DP15	Eucalyptus albens	2016-06-16	-30.70737	150.09621	245	WGS84	Boggabri - private land				elevation computed from api.geonames.org/astergdem		
J413h	DP15	Eucalyptus albens	2016-06-16	-30.70737	150.09621	245	WGS84	Boggabri - private land				elevation computed from api.geonames.org/astergdem		
J413i	DP15	Eucalyptus albens	2016-06-16	-30.70737	150.09621	245	WGS84	Boggabri - private land				elevation computed from api.geonames.org/astergdem		
J414d	DP15	Eucalyptus albens	2016-06-16	-30.49283	149.94203	246	WGS84	Narrabri				elevation computed from api.geonames.org/astergdem		
J418d	DP15	Eucalyptus sideroxylon	2016-06-17	-31.05012	149.23013	375	WGS84	The Pilliga				elevation computed from api.geonames.org/astergdem		
J418f	DP15	Eucalyptus sideroxylon	2016-06-17	-31.05012	149.23013	375	WGS84	The Pilliga				elevation computed from api.geonames.org/astergdem		
J421a	DP15	Eucalyptus sideroxylon	2016-06-23	-32.36597	148.23103	288	WGS84	Narromine				elevation computed from api.geonames.org/astergdem		
J421c	DP15	Eucalyptus sideroxylon	2016-06-23	-32.36597	148.23103	288	WGS84	Narromine				elevation computed from api.geonames.org/astergdem		
J421d	DP15	Eucalyptus sideroxylon	2016-06-23	-32.36597	148.23103	288	WGS84	Narromine				elevation computed from api.geonames.org/astergdem		
J421e	DP15	Eucalyptus sideroxylon	2016-06-23	-32.36597	148.23103	288	WGS84	Narromine				elevation computed from api.geonames.org/astergdem		
J421f	DP15	Eucalyptus sideroxylon	2016-06-23	-32.36597	148.23103	288	WGS84	Narromine				elevation computed from api.geonames.org/astergdem		
J421g	DP15	Eucalyptus sideroxylon	2016-06-23	-32.36597	148.23103	288	WGS84	Narromine				elevation computed from api.geonames.org/astergdem		
J421h	DP15	Eucalyptus sideroxylon	2016-06-23	-32.36597	148.23103	288	WGS84	Narromine				elevation computed from api.geonames.org/astergdem		
J421i	DP15	Eucalyptus sideroxylon	2016-06-23	-32.36597	148.23103	288	WGS84	Narromine				elevation computed from api.geonames.org/astergdem		
J422b	DP15	Eucalyptus sideroxylon	2016-06-24	-32.22311	148.66797	329	WGS84	Dubbo				elevation computed from api.geonames.org/astergdem		
J422d	DP15	Eucalyptus sideroxylon	2016-06-24	-32.22311	148.66797	329	WGS84	Dubbo				elevation computed from api.geonames.org/astergdem		
J422h	DP15	Eucalyptus sideroxylon	2016-06-24	-32.22311	148.66797	329	WGS84	Dubbo				elevation computed from api.geonames.org/astergdem		
J422i	DP15	Eucalyptus sideroxylon	2016-06-24	-32.22311	148.66797	329	WGS84	Dubbo				elevation computed from api.geonames.org/astergdem		
J424h	DP15	Eucalyptus albens	2016-06-24	-31.71111	150.6998	434	WGS84	Ardglen				elevation computed from api.geonames.org/astergdem		
J424i	DP15	Eucalyptus albens	2016-06-24	-31.71111	150.6998	434	WGS84	Ardglen				elevation computed from api.geonames.org/astergdem		
J426e	DP15	Eucalyptus albens	2016-07-09	-30.30846	151.20667	729	WGS84	Bundarra				elevation computed from api.geonames.org/astergdem		
J433i	DP15	Eucalyptus sideroxylon	2016-07-10	-28.17577	151.6577	519	WGS84	Glendon				elevation computed from api.geonames.org/astergdem		
TLC724	DP15	Eucalyptus conica		-29.60560603	151.868071	1037.9375	WGS84	Dundee						
TLC732	DP15	Eucalyptus magnificata		-30.575079	151.903794	979	WGS84	Hillgrove						
TLC734	DP15	Eucalyptus magnificata		-30.55260301	151.896692	972	WGS84	Hillgrove						
TLC738-1	DP15	Eucalyptus sp. aff. magnificata		-30.85471898	151.858673	1054.764404	WGS84	Cheadle Mtn						
TLC739	DP15	Eucalyptus sp. aff. magnificata		-30.85471798	151.858588	1055.253906	WGS84	Cheadle Mtn						
TLC750	DP15	Eucalyptus magnificata		-30.71997302	151.72217	984	WGS84	Enmore						
TLC757	DP15	Eucalyptus magnificata		-30.71907003	151.721817	981.434265	WGS84	Enmore						
TLC758	DP15	Eucalyptus magnificata		-30.71955401	151.722795	977	WGS84	Enmore						
TLC760	DP15	Eucalyptus magnificata		-30.57490801	151.884066	985	WGS84	Metz Gorge						
TLC761	DP15	Eucalyptus magnificata		-30.57479996	151.884278	990	WGS84	Metz Gorge						
TLC764	DP15	Eucalyptus magnificata		-30.57433502	151.885239	977	WGS84	Metz Gorge						
TLC807	DP15	Eucalyptus magnificata		-30.57603898	151.90429	986	WGS84	Hillgrove						
TLC827	DP15	Eucalyptus magnificata		-30.61447897	151.940761	1001	WGS84	Long Point						
TLC830	DP15	Eucalyptus magnificata		-30.61620296	151.938109	994	WGS84	Long Point						
TLC831	DP15	Eucalyptus magnificata		-30.61607497	151.938129	996	WGS84	Long Point						
TLC908	DP15	Eucalyptus sp. aff. magnificata		-30.86045003	151.891704	1048	WGS84	Cheadle Mtn						
TLC909	DP15	Eucalyptus sp. aff. magnificata		-30.86056503	151.891859	1049	WGS84	Cheadle Mtn						
TLC914	DP15	Eucalyptus sp. aff. magnificata		-30.81462398	151.859377	1008	WGS84	Cheyenne Station						
TLC915	DP15	Eucalyptus sp. aff. magnificata		-30.81471702	151.859337	1008	WGS84	Cheyenne Station						
TLC922-1	DP15	Eucalyptus sp. aff. magnificata		-30.56833701	152.04948	1004	WGS84	Wollomombi						
TLC922-2	DP15	Eucalyptus sp. aff. magnificata		-30.56833701	152.04948	1004	WGS84	Wollomombi						
TLC922-3	DP15	Eucalyptus sp. aff. magnificata		-30.56833701	152.04948	1004	WGS84	Wollomombi						
TLC922-4	DP15	Eucalyptus sp. aff. magnificata		-30.56833701	152.04948	1004	WGS84	Wollomombi						
TLC922-5	DP15	Eucalyptus sp. aff. magnificata		-30.56833701	152.04948	1004	WGS84	Wollomombi						
TLC946	DP15	Eucalyptus sp. aff. magnificata		-29.84949804	152.001091	975	WGS84	Henry River Falls						
TLC947	DP15	Eucalyptus sp. aff. magnificata		-29.84955001	152.001463	969	WGS84	Henry River Falls						
TLC948	DP15	Eucalyptus sp. aff. magnificata		-29.84698003	152.010428	951	WGS84	Henry River Falls						
TLC949	DP15	Eucalyptus sp. aff. magnificata		-29.845609	152.012508	923	WGS84	Henry River Falls						
TLC950	DP15	Eucalyptus sp. aff. magnificata		-29.84570699	152.011747	930	WGS84	Henry River Falls						
TLC952-1	DP15	Eucalyptus sp. aff. magnificata		-29.62114801	151.783008	1062	WGS84	Yarraford Rd						
TLC952-2	DP15	Eucalyptus sp. aff. magnificata		-29.62114801	151.783008	1062	WGS84	Yarraford Rd						
TLC952-3	DP15	Eucalyptus sp. aff. magnificata		-29.62114801	151.783008	1062	WGS84	Yarraford Rd						
TLC952-4	DP15	Eucalyptus sp. aff. magnificata		-29.62114801	151.783008	1062	WGS84	Yarraford Rd						
TLC952-5	DP15	Eucalyptus sp. aff. magnificata		-29.62114801	151.783008	1062	WGS84	Yarraford Rd						
TLC953C	DP15	Eucalyptus sp. aff. magnificata		-30.83146197	151.821772	1094	WGS84	Terralto						
TLC953E	DP15	Eucalyptus sp. aff. magnificata		-30.83146197	151.821772	1094	WGS84	Terralto						
TLC963A	DP15	Eucalyptus sp. aff. magnificata		-30.83926	151.83008	1136	WGS84	Terralto						
TLC963C	DP15	Eucalyptus sp. aff. magnificata		-30.83926	151.83008	1136	WGS84	Terralto						
GH1	DP15											Unknown sample from UNE Greenhouse		
GH2	DP15											Unknown sample from UNE Greenhouse		
J293	DP15	Eucalyptus albens	2015-09-29	-30.8942	150.66708	430	WGS84	Keepit, Old Menedebri Rd				elevation computed from api.geonames.org/astergdem		
J295	DP15	Eucalyptus albens	2015-09-29	-30.89198	150.6728	435	WGS84	Keepit, Somerton Main Rd				elevation computed from api.geonames.org/astergdem		
J300	DP15	Eucalyptus sideroxylon	2015-09-30	-29.80812	150.91918	670	WGS84	Gum Flat, Copeton Dam Rd				elevation computed from api.geonames.org/astergdem		
J302	DP15	Eucalyptus albens	2015-09-30	-30.14391	150.05293	487	WGS84	Sawn Rocks, Kilarney Gap Rd				elevation computed from api.geonames.org/astergdem		
J304	DP15	Eucalyptus albens	2015-09-30	-30.14391	150.05293	487	WGS84	Sawn Rocks, Kilarney Gap Rd				elevation computed from api.geonames.org/astergdem		
J312	DP15	Eucalyptus sideroxylon	2015-09-30	-30.60224	149.58173	270	WGS84	Pilliga, Newell Hwy				elevation computed from api.geonames.org/astergdem		
J341a	DP15	Eucalyptus albens	2015-11-05	-29.40223	151.41655	774	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J341b	DP15	Eucalyptus albens	2015-11-05	-29.40223	151.41655	774	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J341c	DP15	Eucalyptus albens	2015-11-05	-29.40223	151.41655	774	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J341d	DP15	Eucalyptus albens	2015-11-05	-29.40223	151.41655	774	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J342a	DP15	Eucalyptus sideroxylon	2015-11-05	-29.39087	151.39279	732	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J342b	DP15	Eucalyptus sideroxylon	2015-11-05	-29.39087	151.39279	732	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J342c	DP15	Eucalyptus sideroxylon	2015-11-05	-29.39087	151.39279	732	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J342d	DP15	Eucalyptus sideroxylon	2015-11-05	-29.39087	151.39279	732	WGS84	Yellow Dam, Emmaville Rd				elevation computed from api.geonames.org/astergdem		
J345a	DP15	Eucalyptus albens	2015-11-20	-35.07022	148.83685	493	WGS84	Mullion, Mountain Creek Rd.				elevation computed from api.geonames.org/astergdem		
J345d	DP15	Eucalyptus albens	2015-11-20	-35.07022	148.83685	493	WGS84	Mullion, Mountain Creek Rd.				elevation computed from api.geonames.org/astergdem		
J349a	DP15	Eucalyptus albens	2015-11-20	-35.24369	148.2968	445	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J349b	DP15	Eucalyptus albens	2015-11-20	-35.24369	148.2968	445	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J349d	DP15	Eucalyptus albens	2015-11-20	-35.24369	148.2968	445	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J349e	DP15	Eucalyptus albens	2015-11-20	-35.24369	148.2968	445	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J349f	DP15	Eucalyptus albens	2015-11-20	-35.24369	148.2968	445	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J349g	DP15	Eucalyptus albens	2015-11-20	-35.24369	148.2968	445	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J349h	DP15	Eucalyptus albens	2015-11-20	-35.24369	148.2968	445	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J349i	DP15	Eucalyptus albens	2015-11-20	-35.24369	148.2968	445	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J349j	DP15	Eucalyptus albens	2015-11-20	-35.24369	148.2968	445	WGS84	Wee Jasper, Wee Jasper Rd.				elevation computed from api.geonames.org/astergdem		
J350a	DP15	Eucalyptus albens	2015-11-20	-35.2456	147.68083	288	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J350b	DP15	Eucalyptus albens	2015-11-20	-35.2456	147.68083	288	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J350c	DP15	Eucalyptus albens	2015-11-20	-35.2456	147.68083	288	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J350d	DP15	Eucalyptus albens	2015-11-20	-35.2456	147.68083	288	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J350e	DP15	Eucalyptus albens	2015-11-20	-35.2456	147.68083	288	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J350f	DP15	Eucalyptus albens	2015-11-20	-35.2456	147.68083	288	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J350g	DP15	Eucalyptus albens	2015-11-20	-35.2456	147.68083	288	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J350h	DP15	Eucalyptus albens	2015-11-20	-35.2456	147.68083	288	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J350i	DP15	Eucalyptus albens	2015-11-20	-35.2456	147.68083	288	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J352	DP15	Eucalyptus sideroxylon	2015-11-20	-35.25665	147.68486	284	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J352a	DP15	Eucalyptus sideroxylon	2015-11-20	-35.25665	147.68486	284	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J352b	DP15	Eucalyptus sideroxylon	2015-11-20	-35.25665	147.68486	284	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J352c	DP15	Eucalyptus sideroxylon	2015-11-20	-35.25665	147.68486	284	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J352d	DP15	Eucalyptus sideroxylon	2015-11-20	-35.25665	147.68486	284	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J352e	DP15	Eucalyptus sideroxylon	2015-11-20	-35.25665	147.68486	284	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J352f	DP15	Eucalyptus sideroxylon	2015-11-20	-35.25665	147.68486	284	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J352g	DP15	Eucalyptus sideroxylon	2015-11-20	-35.25665	147.68486	284	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J352h	DP15	Eucalyptus sideroxylon	2015-11-20	-35.25665	147.68486	284	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J352i	DP15	Eucalyptus sideroxylon	2015-11-20	-35.25665	147.68486	284	WGS84	Tarcutta, Mates Gully Rd.				elevation computed from api.geonames.org/astergdem		
J355a	DP15	Eucalyptus sideroxylon	2015-11-21	-36.09264	146.61917	180	WGS84	Chiltern, Chiltern-Howlong Rd.				elevation computed from api.geonames.org/astergdem		
J355c	DP15	Eucalyptus sideroxylon	2015-11-21	-36.09264	146.61917	180	WGS84	Chiltern, Chiltern-Howlong Rd.				elevation computed from api.geonames.org/astergdem		
J355d	DP15	Eucalyptus sideroxylon	2015-11-21	-36.09264	146.61917	180	WGS84	Chiltern, Chiltern-Howlong Rd.				elevation computed from api.geonames.org/astergdem		
J355e	DP15	Eucalyptus sideroxylon	2015-11-21	-36.09264	146.61917	180	WGS84	Chiltern, Chiltern-Howlong Rd.				elevation computed from api.geonames.org/astergdem		
J355f	DP15	Eucalyptus sideroxylon	2015-11-21	-36.09264	146.61917	180	WGS84	Chiltern, Chiltern-Howlong Rd.				elevation computed from api.geonames.org/astergdem		
J355g	DP15	Eucalyptus sideroxylon	2015-11-21	-36.09264	146.61917	180	WGS84	Chiltern, Chiltern-Howlong Rd.				elevation computed from api.geonames.org/astergdem		
J359a	DP15	Eucalyptus sideroxylon	2015-11-21	-34.47594	147.40941	321	WGS84	Ingalba Nature Reserve, Hwy 94				elevation computed from api.geonames.org/astergdem		
J359b	DP15	Eucalyptus sideroxylon	2015-11-21	-34.47594	147.40941	321	WGS84	Ingalba Nature Reserve, Hwy 94				elevation computed from api.geonames.org/astergdem		
J359c	DP15	Eucalyptus sideroxylon	2015-11-21	-34.47594	147.40941	321	WGS84	Ingalba Nature Reserve, Hwy 94				elevation computed from api.geonames.org/astergdem		
J359d	DP15	Eucalyptus sideroxylon	2015-11-21	-34.47594	147.40941	321	WGS84	Ingalba Nature Reserve, Hwy 94				elevation computed from api.geonames.org/astergdem		
J359e	DP15	Eucalyptus sideroxylon	2015-11-21	-34.47594	147.40941	321	WGS84	Ingalba Nature Reserve, Hwy 94				elevation computed from api.geonames.org/astergdem		
J359g	DP15	Eucalyptus sideroxylon	2015-11-21	-34.47594	147.40941	321	WGS84	Ingalba Nature Reserve, Hwy 94				elevation computed from api.geonames.org/astergdem		
J359h	DP15	Eucalyptus sideroxylon	2015-11-21	-34.47594	147.40941	321	WGS84	Ingalba Nature Reserve, Hwy 94				elevation computed from api.geonames.org/astergdem		
J359i	DP15	Eucalyptus sideroxylon	2015-11-21	-34.47594	147.40941	321	WGS84	Ingalba Nature Reserve, Hwy 94				elevation computed from api.geonames.org/astergdem		
J361a	DP15	Eucalyptus albens	2015-11-22	-33.42118	148.51154	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J361b	DP15	Eucalyptus albens	2015-11-22	-33.42118	148.51154	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J361c	DP15	Eucalyptus albens	2015-11-22	-33.42118	148.51154	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J361d	DP15	Eucalyptus albens	2015-11-22	-33.42118	148.51154	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J361e	DP15	Eucalyptus albens	2015-11-22	-33.42118	148.51154	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J361f	DP15	Eucalyptus albens	2015-11-22	-33.42118	148.51154	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J361g	DP15	Eucalyptus albens	2015-11-22	-33.42118	148.51154	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J361h	DP15	Eucalyptus albens	2015-11-22	-33.42118	148.51154	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J361i	DP15	Eucalyptus albens	2015-11-22	-33.42118	148.51154	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J362a	DP15	Eucalyptus sideroxylon	2015-11-22	-33.42108	148.51126	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J362b	DP15	Eucalyptus sideroxylon	2015-11-22	-33.42108	148.51126	509	WGS84	Nangar Natl Park, Dripping Rock Rd.				elevation computed from api.geonames.org/astergdem		
J367a	DP15	Eucalyptus sideroxylon	2015-12-15	-30.5285	151.15897	790	WGS84	Uralla-Kingstown Rd, Kingstown				elevation computed from api.geonames.org/astergdem		
J367b	DP15	Eucalyptus sideroxylon	2015-12-15	-30.5285	151.15897	790	WGS84	Uralla-Kingstown Rd, Kingstown				elevation computed from api.geonames.org/astergdem		
J367c	DP15	Eucalyptus sideroxylon	2015-12-15	-30.5285	151.15897	790	WGS84	Uralla-Kingstown Rd, Kingstown				elevation computed from api.geonames.org/astergdem		
J367d	DP15	Eucalyptus sideroxylon	2015-12-15	-30.5285	151.15897	790	WGS84	Uralla-Kingstown Rd, Kingstown				elevation computed from api.geonames.org/astergdem		
J367e	DP15	Eucalyptus sideroxylon	2015-12-15	-30.5285	151.15897	790	WGS84	Uralla-Kingstown Rd, Kingstown				elevation computed from api.geonames.org/astergdem		
J367f	DP15	Eucalyptus sideroxylon	2015-12-15	-30.5285	151.15897	790	WGS84	Uralla-Kingstown Rd, Kingstown				elevation computed from api.geonames.org/astergdem		
J367g	DP15	Eucalyptus sideroxylon	2015-12-15	-30.5285	151.15897	790	WGS84	Uralla-Kingstown Rd, Kingstown				elevation computed from api.geonames.org/astergdem		
J367h	DP15	Eucalyptus sideroxylon	2015-12-15	-30.5285	151.15897	790	WGS84	Uralla-Kingstown Rd, Kingstown				elevation computed from api.geonames.org/astergdem		
J374a	DP15	Eucalyptus albens	2016-01-24	-37.36159	147.85228	280	WGS84	Ensay				elevation computed from api.geonames.org/astergdem		
J374b	DP15	Eucalyptus albens	2016-01-24	-37.36159	147.85228	280	WGS84	Ensay				elevation computed from api.geonames.org/astergdem		
J374c	DP15	Eucalyptus albens	2016-01-24	-37.36159	147.85228	280	WGS84	Ensay				elevation computed from api.geonames.org/astergdem		
J374d	DP15	Eucalyptus albens	2016-01-24	-37.36159	147.85228	280	WGS84	Ensay				elevation computed from api.geonames.org/astergdem		
J374e	DP15	Eucalyptus albens	2016-01-24	-37.36159	147.85228	280	WGS84	Ensay				elevation computed from api.geonames.org/astergdem		
J374f	DP15	Eucalyptus albens	2016-01-24	-37.36159	147.85228	280	WGS84	Ensay				elevation computed from api.geonames.org/astergdem		
J374g	DP15	Eucalyptus albens	2016-01-24	-37.36159	147.85228	280	WGS84	Ensay				elevation computed from api.geonames.org/astergdem		
J374h	DP15	Eucalyptus albens	2016-01-24	-37.36159	147.85228	280	WGS84	Ensay				elevation computed from api.geonames.org/astergdem		
J374i	DP15	Eucalyptus albens	2016-01-24	-37.36159	147.85228	280	WGS84	Ensay				elevation computed from api.geonames.org/astergdem		
J376a	DP15	Eucalyptus albens	2016-01-25	-37.07782	148.34419	683	WGS84	McKillop Bridge				elevation computed from api.geonames.org/astergdem		
J376b	DP15	Eucalyptus albens	2016-01-25	-37.07782	148.34419	683	WGS84	McKillop Bridge				elevation computed from api.geonames.org/astergdem		
J376c	DP15	Eucalyptus albens	2016-01-25	-37.07782	148.34419	683	WGS84	McKillop Bridge				elevation computed from api.geonames.org/astergdem		
J376d	DP15	Eucalyptus albens	2016-01-25	-37.07782	148.34419	683	WGS84	McKillop Bridge				elevation computed from api.geonames.org/astergdem		
J376e	DP15	Eucalyptus albens	2016-01-25	-37.07782	148.34419	683	WGS84	McKillop Bridge				elevation computed from api.geonames.org/astergdem		
J376f	DP15	Eucalyptus albens	2016-01-25	-37.07782	148.34419	683	WGS84	McKillop Bridge				elevation computed from api.geonames.org/astergdem		
J376g	DP15	Eucalyptus albens	2016-01-25	-37.07782	148.34419	683	WGS84	McKillop Bridge				elevation computed from api.geonames.org/astergdem		
J376h	DP15	Eucalyptus albens	2016-01-25	-37.07782	148.34419	683	WGS84	McKillop Bridge				elevation computed from api.geonames.org/astergdem		
J376i	DP15	Eucalyptus albens	2016-01-25	-37.07782	148.34419	683	WGS84	McKillop Bridge				elevation computed from api.geonames.org/astergdem		
J377a	DP15	Eucalyptus albens	2016-01-25	-36.96985	148.30525	577	WGS84	Suggan Buggan				elevation computed from api.geonames.org/astergdem		
J377b	DP15	Eucalyptus albens	2016-01-25	-36.96985	148.30525	577	WGS84	Suggan Buggan				elevation computed from api.geonames.org/astergdem		
J377c	DP15	Eucalyptus albens	2016-01-25	-36.96985	148.30525	577	WGS84	Suggan Buggan				elevation computed from api.geonames.org/astergdem		
J377d	DP15	Eucalyptus albens	2016-01-25	-36.96985	148.30525	577	WGS84	Suggan Buggan				elevation computed from api.geonames.org/astergdem		
J377e	DP15	Eucalyptus albens	2016-01-25	-36.96985	148.30525	577	WGS84	Suggan Buggan				elevation computed from api.geonames.org/astergdem		
J377g	DP15	Eucalyptus albens	2016-01-25	-36.96985	148.30525	577	WGS84	Suggan Buggan				elevation computed from api.geonames.org/astergdem		
J377h	DP15	Eucalyptus albens	2016-01-25	-36.96985	148.30525	577	WGS84	Suggan Buggan				elevation computed from api.geonames.org/astergdem		
J377i	DP15	Eucalyptus albens	2016-01-25	-36.96985	148.30525	577	WGS84	Suggan Buggan				elevation computed from api.geonames.org/astergdem		
J382b	DP15	Eucalyptus albens	2016-01-27	-37.21575	147.71677	322	WGS84	Swifts Creek				elevation computed from api.geonames.org/astergdem		
J382c	DP15	Eucalyptus albens	2016-01-27	-37.21575	147.71677	322	WGS84	Swifts Creek				elevation computed from api.geonames.org/astergdem		
J382d	DP15	Eucalyptus albens	2016-01-27	-37.21575	147.71677	322	WGS84	Swifts Creek				elevation computed from api.geonames.org/astergdem		
J382e	DP15	Eucalyptus albens	2016-01-27	-37.21575	147.71677	322	WGS84	Swifts Creek				elevation computed from api.geonames.org/astergdem		
J382f	DP15	Eucalyptus albens	2016-01-27	-37.21575	147.71677	322	WGS84	Swifts Creek				elevation computed from api.geonames.org/astergdem		
J382g	DP15	Eucalyptus albens	2016-01-27	-37.21575	147.71677	322	WGS84	Swifts Creek				elevation computed from api.geonames.org/astergdem		
J382h	DP15	Eucalyptus albens	2016-01-27	-37.21575	147.71677	322	WGS84	Swifts Creek				elevation computed from api.geonames.org/astergdem		
J382i	DP15	Eucalyptus albens	2016-01-27	-37.21575	147.71677	322	WGS84	Swifts Creek				elevation computed from api.geonames.org/astergdem		
J385a	DP15	Eucalyptus sideroxylon	2016-01-29	-36.17434	146.66263	245	WGS84	Chiltern				elevation computed from api.geonames.org/astergdem		
