run	library	sample	include	project	date
2020_Borevitz_UWA_S4	J388F	J388f	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J389	J389	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J390	J390	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J392	J392	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J393	J393	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J394g	J394g	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J395	J395	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J398	J398	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J399	J399	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J400	J400	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J401	J401	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J402	J402	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J403	J403	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J404	J404	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J405	J405	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J406	J406	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J407	J407	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J408	J408	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J411	J411	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J412	J412	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J413	J413	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J414	J414	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J416	J416	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J417	J417	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J418	J418	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J419	J419	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J420	J420	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J421	J421	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J422	J422	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J423	J423	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J424	J424	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J425i	J425i	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J426	J426	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J427	J427	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J427a	J427a	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J428d	J428d	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J429f	J429f	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J431	J431	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J432	J432	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J433a	J433a	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J434a	J434a	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J435d	J435d	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J436d	J436d	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J437	J437	Y	DP15	2020-01
2020_Borevitz_UWA_S4	J438	J438	Y	DP15	2020-01
2020_Borevitz_UWA_S4	NE90535	NE90535	Y	DP15	2020-01
2020_Borevitz_UWA_S4	RA1006	RA1006	Y	DP15	2020-01
2020_Borevitz_UWA_S4	TLC715	TLC715	Y	DP15	2020-01
2020_Borevitz_UWA_S4	TLC720	TLC720	Y	DP15	2020-01
2020_Borevitz_UWA_S4	TLC725	TLC725	Y	DP15	2020-01
2020_Borevitz_UWA_S4	TLC726	TLC726	Y	DP15	2020-01
2020_Borevitz_UWA_S4	TLC775	TLC775	Y	DP15	2020-01
2020_Borevitz_UWA_S4	VMA18	VMA18	Y	DP15	2020-01
2020_Borevitz_UWA_S4	VWG14	VWG14	Y	DP15	2020-01
2020_Borevitz_UWA_S4	Angophora_floribunda_ANU_Banks_Building_1	Angophora_floribunda_ANU_Banks_Building	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Angophora_floribunda_ANU_Banks_Building_2	Angophora_floribunda_ANU_Banks_Building	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Corymbia_calophylla_ANBG_1	Corymbia_calophylla_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Corymbia_calophylla_ANBG_2	Corymbia_calophylla_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Corymbia_maculata_Arboretum_ACT_1	Corymbia_maculata_Arboretum_ACT	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Corymbia_maculata_Arboretum_ACT_2	Corymbia_maculata_Arboretum_ACT	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_albens_ANBG_1	Eucalyptus_albens_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_albens_ANBG_2	Eucalyptus_albens_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_brandiana_1	Eucalyptus_brandiana	Y	EucPan	2020-01
